"sido_code","sido","sigungu_code","sigungu","total","male","female","rep_n","income","gain","tax_t","cmp_tax","reduce","cnf_tax","cafes","isCity"
"11","서울특별시","11110","종로구",151290,73746,77544,29540,5518807,1963230,1804064,543327,80539,462788,96,"도시지역"
"11","서울특별시","11140","중구",126171,61910,64261,25490,4621063,1188870,1060615,278268,36464,241804,149,"도시지역"
"11","서울특별시","11170","용산구",228670,110356,118314,47229,11627137,5650993,5309143,1810026,271409,1538617,77,"도시지역"
"11","서울특별시","11200","성동구",300889,147273,153616,55769,9113764,2316783,2020332,478784,65972,412812,95,"도시지역"
"11","서울특별시","11215","광진구",351350,170262,181088,65366,8457432,2049636,1737870,367360,51654,315706,111,"도시지역"
"11","서울특별시","11230","동대문구",346194,172113,174081,59153,8199283,1438726,1165928,201902,36103,165798,63,"도시지역"
"11","서울특별시","11260","중랑구",397015,196959,200056,65193,6736127,1221007,943881,138038,30042,107996,81,"도시지역"
"11","서울특별시","11290","성북구",442650,214437,228213,74287,10350828,2645678,2274632,567307,91669,475637,72,"도시지역"
"11","서울특별시","11305","강북구",313954,153235,160719,48514,4902456,896816,693071,104782,21476,83306,27,"도시지역"
"11","서울특별시","11320","도봉구",333362,163051,170311,52557,5897460,1109869,871955,139830,26448,113382,43,"도시지역"
"11","서울특별시","11350","노원구",532905,257923,274982,78243,9240016,1911055,1519460,258915,48887,210028,108,"도시지역"
"11","서울특별시","11380","은평구",480032,231528,248504,77056,8778668,1747353,1391402,236666,43406,193260,47,"도시지역"
"11","서울특별시","11410","서대문구",309397,148663,160734,53408,6659617,1643742,1377638,284690,43967,240724,95,"도시지역"
"11","서울특별시","11440","마포구",374035,176891,197144,71077,9590049,2661136,2287087,499508,68675,430833,18,"도시지역"
"11","서울특별시","11470","양천구",458165,225186,232979,79005,13076451,3359932,2910950,678988,89985,589003,93,"도시지역"
"11","서울특별시","11500","강서구",591796,286563,305233,96666,11631215,2520862,2051608,372078,66268,305809,181,"도시지역"
"11","서울특별시","11530","구로구",406664,200987,205677,70115,8390356,1675327,1349411,228269,45541,182727,65,"도시지역"
"11","서울특별시","11545","금천구",232810,118209,114601,41517,4377216,802258,630537,95038,21662,73376,60,"도시지역"
"11","서울특별시","11560","영등포구",367678,182438,185240,70841,9852152,2607977,2247943,499103,70298,428805,145,"도시지역"
"11","서울특별시","11590","동작구",395963,191976,203987,68638,8965825,2058652,1713327,326884,52790,274094,84,"도시지역"
"11","서울특별시","11620","관악구",500094,251009,249085,88286,8319351,1844461,1473067,246762,50582,196180,113,"도시지역"
