2020년 고양정수장의 날짜별 총 공급량,,
K-water로 부터 데이터를 받아 변환함,,
,,
month,date,supply
1,1,91580
1,2,95600
1,3,92480
1,4,95440
1,5,93440
1,6,91760
1,7,92280
1,8,93640
1,9,96080
1,10,94120
1,11,94000
1,12,96440
1,13,95760
1,14,92300
1,15,99080
1,16,97680
1,17,110050
1,18,124160
1,19,120080
1,20,123960
1,21,122200
1,22,123600
1,23,119880
1,24,120120
1,25,119760
1,26,118760
1,27,125840
1,28,125160
1,29,110230
1,30,108000
1,31,99120
2,1,92500
2,2,93520
2,3,94400
2,4,100290
2,5,103520
2,6,98640
2,7,101280
2,8,102080
2,9,97800
2,10,93800
2,11,95440
2,12,92160
2,13,95660
2,14,96240
2,15,94340
2,16,91120
2,17,109080
2,18,121040
2,19,116160
2,20,124970
2,21,127800
2,22,120640
2,23,123850
2,24,121950
2,25,121920
2,26,123600
2,27,126840
2,28,116160
2,29,121980
3,1,90400
3,2,94680
3,3,93640
3,4,95200
3,5,100240
3,6,102400
3,7,96320
3,8,96160
3,9,101880
3,10,110200
3,11,94880
3,12,103200
3,13,117600
3,14,119480
3,15,121600
3,16,122440
3,17,125760
3,18,124120
3,19,125240
3,20,125240
3,21,125760
3,22,122760
3,23,115120
3,24,94800
3,25,92760
3,26,95360
3,27,92520
3,28,98160
3,29,99320
3,30,116120
3,31,131040
4,1,102430
4,2,92120
4,3,95410
4,4,92320
4,5,91320
4,6,92760
4,7,89980
4,8,88880
4,9,121400
4,10,135760
4,11,122600
4,12,129760
4,13,122920
4,14,111860
4,15,121330
4,16,119160
4,17,107720
4,18,85640
4,19,78040
4,20,87400
4,21,87080
4,22,83800
4,23,101600
4,24,89160
4,25,79880
4,26,79760
4,27,72880
4,28,81120
4,29,79800
4,30,97600
5,1,91280
5,2,93680
5,3,81520
5,4,84960
5,5,88200
5,6,83520
5,7,88810
5,8,86800
5,9,85760
5,10,82720
5,11,85560
5,12,88520
5,13,83880
5,14,91480
5,15,85680
5,16,85040
5,17,92920
5,18,97320
5,19,123120
5,20,107560
5,21,117240
5,22,124960
5,23,126360
5,24,128880
5,25,125000
5,26,119040
5,27,123840
5,28,123560
5,29,123100
5,30,123920
5,31,123160
6,1,115944
6,2,100240
6,3,105480
6,4,96080
6,5,100920
6,6,102600
6,7,96120
6,8,98400
6,9,100795
6,10,99600
6,11,93160
6,12,101880
6,13,101480
6,14,98520
6,15,98200
6,16,103840
6,17,112240
6,18,121480
6,19,124607
6,20,124600
6,21,126400
6,22,136200
6,23,136280
6,24,124280
6,25,128160
6,26,131840
6,27,131400
6,28,120200
6,29,127120
6,30,120400
7,1,96000
7,2,103110
7,3,110200
7,4,102840
7,5,101360
7,6,101040
7,7,104800
7,8,110840
7,9,111040
7,10,102800
7,11,108840
7,12,101200
7,13,105520
7,14,119680
7,15,126240
7,16,131800
7,17,129360
7,18,125120
7,19,127160
7,20,127400
7,21,131448
7,22,131000
7,23,128640
7,24,125720
7,25,129120
7,26,130220
7,27,121960
7,28,103720
7,29,103800
7,30,103280
7,31,103080
8,1,104960
8,2,102000
8,3,109600
8,4,124320
8,5,132200
8,6,131880
8,7,131160
8,8,130880
8,9,130210
8,10,132080
8,11,132320
8,12,132360
8,13,132360
8,14,135600
8,15,129040
8,16,132160
8,17,119080
8,18,102000
8,19,106920
8,20,99240
8,21,104080
8,22,104040
8,23,101560
8,24,105720
8,25,107760
8,26,105840
8,27,104800
8,28,109040
8,29,105360
8,30,102640
8,31,106240
9,1,109280
9,2,104720
9,3,130320
9,4,149970
9,5,156010
9,6,140290
9,7,132260
9,8,135600
9,9,130690
9,10,126360
9,11,127080
9,12,125440
9,13,129180
9,14,128180
9,15,130310
9,16,136380
9,17,133890
9,18,131470
9,19,131940
9,20,132660
9,21,138130
9,22,125800
9,23,109580
9,24,108390
9,25,102410
9,26,103000
9,27,97150
9,28,104540
9,29,105230
9,30,102910
10,1,98270
10,2,99120
10,3,102030
10,4,109230
10,5,112730
10,6,117810
10,7,118220
10,8,117340
10,9,115710
10,10,125500
10,11,119050
10,12,119220
10,13,115710
10,14,117390
10,15,121800
10,16,131900
10,17,149350
10,18,148470
10,19,146940
10,20,144240
10,21,130250
10,22,138990
10,23,125520
10,24,122970
10,25,127200
10,26,126350
10,27,128690
10,28,127240
10,29,124460
10,30,115550
10,31,96450
11,1,97540
11,2,98670
11,3,102280
11,4,102580
11,5,105850
11,6,102760
11,7,98810
11,8,100930
11,9,103400
11,10,104100
11,11,101970
11,12,105410
11,13,106770
11,14,107770
11,15,105920
11,16,103060
11,17,115890
11,18,128160
11,19,130210
11,20,127570
11,21,133790
11,22,126950
11,23,129980
11,24,131860
11,25,135240
11,26,133780
11,27,129740
11,28,135710
11,29,128790
11,30,125140
12,1,104700
12,2,103360
12,3,105110
12,4,117460
12,5,134810
12,6,134370
12,7,134130
12,8,132150
12,9,132670
12,10,131050
12,11,135740
12,12,132380
12,13,128470
12,14,133200
12,15,137650
12,16,143420
12,17,135210
12,18,135950
12,19,133070
12,20,135170
12,21,134160
12,22,136210
12,23,129610
12,24,136180
12,25,134980
12,26,132090
12,27,134030
12,28,144890
12,29,123030
12,30,104000
12,31,105510
